amount,merchant,description,category
1649.59,BYJU'S,course fee at BYJU'S,Education
3638.43,PractO,consultation at PractO,Healthcare
636.1,Netmeds,consultation at Netmeds,Healthcare
1457.34,Paytm,recharge at Paytm,Others
59.36,BookMyShow,movie at BookMyShow,Entertainment
310.12,BYJU'S,course fee at BYJU'S,Education
2668.97,Amazon,home decor at Amazon,Shopping
2183.58,Myntra,home decor at Myntra,Shopping
647.66,Spotify,concert at Spotify,Entertainment
709.36,Barbeque Nation,food delivery at Barbeque Nation,Dining
1143.92,domino's,dinner at Domino's,Dining
10,IRCTC,flight at IRCTC,Travel
414.11,Uber,flight at Uber,Travel
350.23,More Supermarket,bread at More Supermarket,Groceries
432.49,BYJU'S,study material at BYJU'S,Education
2459.12,Myntra,clothes at Myntra,Shopping
492.08,1mg,medicine at 1mg,Healthcare
318.9,Indian Oil,fuel refill at Indian Oil,Fuel
1052.57,PhonePe,payment at PhonePe,Others
3010.9,Paytm,transfer at Paytm,Others
414.32,Coursera,course fee at Coursera,Education
122.69,Unacademy,subscription at Unacademy,Education
661.03,Ajio,clothes at Ajio,Shopping
2065.42,Uber,flight at Uber,Travel
1200.07,Uber,flight at Uber,Travel
2545.71,zomato,dinner at Zomato,Dining
4813.1,Reliance Fresh,bread at Reliance Fresh,Groceries
2360.11,RedBus,cab fare at RedBus,Travel
1388.77,Mahanagar Gas,internet at Mahanagar Gas,Utilities
1019.88,Coursera,course fee at Coursera,Education
61.34,BESCOM,internet at BESCOM,Utilities
6233.24,netmeds,doctor visit at Netmeds,Healthcare
725.5,mahanagar gas,electricity bill at Mahanagar Gas,Utilities
247.72,uber,cab fare at Uber,Travel
1648.11,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
501.72,Big Bazaar,vegetables at Big Bazaar,Groceries
1322.03,Paytm,payment at Paytm,Others
1325.62,Paytm,recharge at Paytm,Others
885.15,Airtel,gas bill at Airtel,Utilities
2712.92,Airtel,mobile recharge at Airtel,Utilities
461.76,Netflix,games at Netflix,Entertainment
893.03,IRCTC,cab fare at IRCTC,Travel
1157.29,Domino's,dinner at Domino's,Dining
1634.29,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
2298.52,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
753.31,Coursera,subscription at Coursera,Education
1557.89,Paytm,recharge at Paytm,Others
244.86,Domino's,lunch at Domino's,Dining
4046.74,Vedantu,course fee at Vedantu,Education
724.47,Flipkart,home decor at Flipkart,Shopping
1961.34,Tata Power,mobile recharge at Tata Power,Utilities
30.83,BESCOM,electricity bill at BESCOM,Utilities
344.47,Vedantu,course fee at Vedantu,Education
1001.46,Google Pay,payment at Google Pay,Others
3158.71,BESCOM,mobile recharge at BESCOM,Utilities
1123.8,PhonePe,recharge at PhonePe,Others
3986.12,Ajio,footwear at Ajio,Shopping
991.88,Zomato,lunch at Zomato,Dining
1011.34,RedBus,train ticket at RedBus,Travel
191.32,PhonePe,PAYMENT AT PHONEPE,Others
2434.21,flipkart,home decor at Flipkart,Shopping
425.47,1mg,consultation at 1mg,Healthcare
3448.08,DMart,milk at DMart,Groceries
3625.72,BESCOM,INTERNET AT BESCOM,Utilities
4305.24,IRCTC,flight at IRCTC,Travel
1101.67,Amazon,electronics at Amazon,Shopping
1695.59,Ola,flight at Ola,Travel
2261.11,Mahanagar Gas,internet at Mahanagar Gas,Utilities
210.64,BYJU'S,subscription at BYJU'S,Education
1378.03,Hotstar,games at Hotstar,Entertainment
52.35,Paytm,payment at Paytm,Others
1032.44,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
252.35,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
303.03,Coursera,course fee at Coursera,Education
681.31,PractO,health checkup at PractO,Healthcare
849.61,Zomato,lunch at Zomato,Dining
1463.95,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
116.02,Coursera,subscription at Coursera,Education
1050.84,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
302.49,Tata Power,mobile recharge at Tata Power,Utilities
1279.89,Domino's,lunch at Domino's,Dining
1521.7,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
1220.29,Coursera,subscription at Coursera,Education
2010.81,Barbeque Nation,dinner at Barbeque Nation,Dining
613.33,Hotstar,concert at Hotstar,Entertainment
2172.94,Uber,cab fare at Uber,Travel
850.48,PractO,doctor visit at PractO,Healthcare
993.01,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1566.62,indian oil,fuel refill at Indian Oil,Fuel
27.79,Vedantu,subscription at Vedantu,Education
1591.95,1mg,health checkup at 1mg,Healthcare
1445.8,Paytm,transfer at Paytm,Others
556.26,Airtel,mobile recharge at Airtel,Utilities
134.55,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
143.01,Netmeds,health checkup at Netmeds,Healthcare
3850.29,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
1753.29,PhonePe,recharge at PhonePe,Others
203.91,Google Pay,payment at Google Pay,Others
661.77,Uber,flight at Uber,Travel
1346.51,1mg,health checkup at 1mg,Healthcare
2707.92,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
66.96,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
405.02,Zomato,lunch at Zomato,Dining
3307.49,Swiggy,snack at Swiggy,Dining
13.81,barbeque nation,snack at Barbeque Nation,Dining
337.34,PractO,consultation at PractO,Healthcare
4792.16,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
1425.55,Amazon,electronics at Amazon,Shopping
455.05,Amazon,clothes at Amazon,Shopping
104.01,Hotstar,concert at Hotstar,Entertainment
42.89,Hotstar,concert at Hotstar,Entertainment
421.05,PhonePe,payment at PhonePe,Others
3199.08,Swiggy,snack at Swiggy,Dining
806.56,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
1911.24,Spotify,movie at Spotify,Entertainment
3756.78,PhonePe,recharge at PhonePe,Others
786.48,Hotstar,games at Hotstar,Entertainment
318.45,Domino's,food delivery at Domino's,Dining
1091.97,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
3580.32,Ajio,home decor at Ajio,Shopping
2447.33,DMart,vegetables at DMart,Groceries
102.15,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
1769.28,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
1272.59,1mg,medicine at 1mg,Healthcare
3570.22,Ajio,clothes at Ajio,Shopping
195.99,Big Bazaar,monthly ration at Big Bazaar,Groceries
1145.47,Tata Power,mobile recharge at Tata Power,Utilities
3173.69,zomato,FOOD DELIVERY AT ZOMATO,Dining
791.51,Indian Oil,petrol at Indian Oil,Fuel
986.66,paytm,recharge at Paytm,Others
109.6,Reliance Fresh,monthly ration at Reliance Fresh,Groceries
488.89,Domino's,food delivery at Domino's,Dining
588.47,PhonePe,recharge at PhonePe,Others
4353.98,Ola,cab fare at Ola,Travel
498.32,PractO,medicine at PractO,Healthcare
926.69,Tata Power,electricity bill at Tata Power,Utilities
1668.93,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
265.43,Flipkart,footwear at Flipkart,Shopping
999.59,Ajio,footwear at Ajio,Shopping
2012.21,Ajio,clothes at Ajio,Shopping
3024.48,Swiggy,food delivery at Swiggy,Dining
1476.29,More Supermarket,bread at More Supermarket,Groceries
1658.7,Unacademy,course fee at Unacademy,Education
202.5,Indian Oil,fuel refill at Indian Oil,Fuel
4371.96,PractO,consultation at PractO,Healthcare
213.34,Zomato,dinner at Zomato,Dining
2235.3,Barbeque Nation,lunch at Barbeque Nation,Dining
461.45,Tata Power,electricity bill at Tata Power,Utilities
4067.93,RedBus,train ticket at RedBus,Travel
1909.23,More Supermarket,vegetables at More Supermarket,Groceries
2102.5,Swiggy,lunch at Swiggy,Dining
370.88,Ajio,home decor at Ajio,Shopping
877.89,Vedantu,study material at Vedantu,Education
1442.77,Paytm,transfer at Paytm,Others
2204.34,1mg,DOCTOR VISIT AT 1MG,Healthcare
164.65,IRCTC,cab fare at IRCTC,Travel
4919.74,Zomato,lunch at Zomato,Dining
3313.92,phonepe,recharge at PhonePe,Others
472.78,Ola,train ticket at Ola,Travel
2595.38,Unacademy,study material at Unacademy,Education
1095.73,Spotify,subscription at Spotify,Entertainment
929.31,Netflix,concert at Netflix,Entertainment
566.27,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
1304.71,Barbeque Nation,snack at Barbeque Nation,Dining
1963.38,ajio,home decor at Ajio,Shopping
793.82,PhonePe,recharge at PhonePe,Others
1488.22,DMart,vegetables at DMart,Groceries
1802.53,Spotify,concert at Spotify,Entertainment
1862.63,Vedantu,course fee at Vedantu,Education
80.05,Paytm,payment at Paytm,Others
2946.47,Tata Power,electricity bill at Tata Power,Utilities
919.44,BYJU'S,study material at BYJU'S,Education
456.56,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
415.14,1mg,consultation at 1mg,Healthcare
989.61,barbeque nation,dinner at Barbeque Nation,Dining
3268.32,Big Bazaar,milk at Big Bazaar,Groceries
713.06,Domino's,dinner at Domino's,Dining
2077.8,Paytm,transfer at Paytm,Others
152.75,Paytm,payment at Paytm,Others
969.56,Uber,cab fare at Uber,Travel
7184.75,Ajio,clothes at Ajio,Shopping
2207.37,Uber,flight at Uber,Travel
354.59,Paytm,payment at Paytm,Others
1044.05,Paytm,recharge at Paytm,Others
399.13,Uber,flight at Uber,Travel
790.33,IRCTC,bus ticket at IRCTC,Travel
2271.76,PhonePe,transfer at PhonePe,Others
2212.52,Ola,cab fare at Ola,Travel
388.35,Google Pay,payment at Google Pay,Others
3830.87,1mg,medicine at 1mg,Healthcare
1346.82,Indian Oil,fuel refill at Indian Oil,Fuel
716.87,Ajio,home decor at Ajio,Shopping
1045.54,Coursera,subscription at Coursera,Education
1393.57,Hotstar,games at Hotstar,Entertainment
1231.1,Mahanagar Gas,ELECTRICITY BILL AT MAHANAGAR GAS,Utilities
999.48,Unacademy,study material at Unacademy,Education
1054.59,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
291.13,Paytm,transfer at Paytm,Others
2512.83,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
1170.54,Amazon,home decor at Amazon,Shopping
210.76,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
2179.66,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
4042.2,Airtel,internet at Airtel,Utilities
4414.91,Ola,bus ticket at Ola,Travel
690.72,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
218.44,Ola,flight at Ola,Travel
1095.96,Barbeque Nation,dinner at Barbeque Nation,Dining
179.2,Paytm,recharge at Paytm,Others
4076.86,BYJU'S,course fee at BYJU'S,Education
304.24,IRCTC,cab fare at IRCTC,Travel
437.07,Barbeque Nation,lunch at Barbeque Nation,Dining
782.92,Domino's,food delivery at Domino's,Dining
724.73,Mahanagar Gas,internet at Mahanagar Gas,Utilities
2374.65,paytm,payment at Paytm,Others
914.08,mahanagar gas,mobile recharge at Mahanagar Gas,Utilities
280.88,Myntra,electronics at Myntra,Shopping
466.34,Zomato,food delivery at Zomato,Dining
1067.31,Ola,flight at Ola,Travel
239.29,Domino's,snack at Domino's,Dining
1418.79,Flipkart,home decor at Flipkart,Shopping
1251.19,Tata Power,ELECTRICITY BILL AT TATA POWER,Utilities
1881.33,Paytm,recharge at Paytm,Others
4163.8,Mahanagar Gas,MOBILE RECHARGE AT MAHANAGAR GAS,Utilities
3649.97,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
4380.26,byju's,STUDY MATERIAL AT BYJU'S,Education
420.99,RedBus,bus ticket at RedBus,Travel
211.59,RedBus,cab fare at RedBus,Travel
539.9,Zomato,lunch at Zomato,Dining
3381.91,BESCOM,electricity bill at BESCOM,Utilities
5366.19,Mahanagar Gas,internet at Mahanagar Gas,Utilities
2941.95,IRCTC,flight at IRCTC,Travel
174.83,Paytm,transfer at Paytm,Others
4418.36,Netflix,movie at Netflix,Entertainment
825.8,1mg,health checkup at 1mg,Healthcare
14.03,Reliance Fresh,milk at Reliance Fresh,Groceries
876.15,Unacademy,study material at Unacademy,Education
70.75,Myntra,footwear at Myntra,Shopping
1177.49,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
619.99,1mg,doctor visit at 1mg,Healthcare
962.07,RedBus,flight at RedBus,Travel
1424.66,Flipkart,home decor at Flipkart,Shopping
3046.56,Vedantu,SUBSCRIPTION AT VEDANTU,Education
1626.63,Barbeque Nation,food delivery at Barbeque Nation,Dining
853.87,Google Pay,recharge at Google Pay,Others
2567.44,HP Petrol Pump,petrol at HP Petrol Pump,Fuel
3540.04,Tata Power,internet at Tata Power,Utilities
191.34,Coursera,subscription at Coursera,Education
1138.72,Spotify,movie at Spotify,Entertainment
502.19,RedBus,bus ticket at RedBus,Travel
72.31,Domino's,snack at Domino's,Dining
1656.4,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
2979.15,BESCOM,internet at BESCOM,Utilities
266.72,dmart,milk at DMart,Groceries
2510.27,Indian Oil,petrol at Indian Oil,Fuel
2880.03,Google Pay,transfer at Google Pay,Others
3686.06,BESCOM,gas bill at BESCOM,Utilities
462.41,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
3514.38,PhonePe,transfer at PhonePe,Others
579.96,Unacademy,subscription at Unacademy,Education
1205.58,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
77.74,PractO,medicine at PractO,Healthcare
67.31,BookMyShow,games at BookMyShow,Entertainment
1911.45,Vedantu,STUDY MATERIAL AT VEDANTU,Education
881.78,Swiggy,lunch at Swiggy,Dining
444.16,PhonePe,recharge at PhonePe,Others
316.85,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
1662.78,1mg,consultation at 1mg,Healthcare
10,Big Bazaar,bread at Big Bazaar,Groceries
2459,Tata Power,gas bill at Tata Power,Utilities
123.85,Coursera,study material at Coursera,Education
318.84,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
732.22,Spotify,movie at Spotify,Entertainment
994.97,More Supermarket,milk at More Supermarket,Groceries
657.75,Tata Power,gas bill at Tata Power,Utilities
580.07,Barbeque Nation,LUNCH AT BARBEQUE NATION,Dining
4982.86,Hotstar,games at Hotstar,Entertainment
1539.07,Amazon,footwear at Amazon,Shopping
35.57,Zomato,snack at Zomato,Dining
843.64,Uber,cab fare at Uber,Travel
3119.27,Flipkart,home decor at Flipkart,Shopping
538.14,Big Bazaar,MILK AT BIG BAZAAR,Groceries
149,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
2130.61,PhonePe,payment at PhonePe,Others
1397.16,Google Pay,recharge at Google Pay,Others
1267.05,Paytm,payment at Paytm,Others
82.6,Tata Power,internet at Tata Power,Utilities
227.1,Google Pay,transfer at Google Pay,Others
1461.47,Uber,flight at Uber,Travel
349.46,BESCOM,mobile recharge at BESCOM,Utilities
1051.98,flipkart,electronics at Flipkart,Shopping
1180.8,PhonePe,transfer at PhonePe,Others
500.08,Apollo Pharmacy,medicine at Apollo Pharmacy,Healthcare
4447.08,Netflix,movie at Netflix,Entertainment
2772.15,Myntra,home decor at Myntra,Shopping
1922.22,Ola,cab fare at Ola,Travel
121.81,BYJU'S,course fee at BYJU'S,Education
168.29,Coursera,study material at Coursera,Education
1018.22,DMart,milk at DMart,Groceries
262.8,Indian Oil,fuel refill at Indian Oil,Fuel
5743.28,PhonePe,transfer at PhonePe,Others
258.89,Zomato,food delivery at Zomato,Dining
1002.59,Big Bazaar,vegetables at Big Bazaar,Groceries
679.12,Uber,flight at Uber,Travel
1529.92,Ajio,home decor at Ajio,Shopping
207.23,Paytm,TRANSFER AT PAYTM,Others
844.01,Hotstar,subscription at Hotstar,Entertainment
481.77,Indian Oil,diesel at Indian Oil,Fuel
3280.56,BESCOM,mobile recharge at BESCOM,Utilities
62.15,Myntra,electronics at Myntra,Shopping
3675.37,PhonePe,payment at PhonePe,Others
2684.59,Swiggy,snack at Swiggy,Dining
529.82,Tata Power,electricity bill at Tata Power,Utilities
2335.91,Paytm,transfer at Paytm,Others
47.57,phonepe,transfer at PhonePe,Others
5110.77,1mg,consultation at 1mg,Healthcare
1121.71,IRCTC,bus ticket at IRCTC,Travel
542.06,Big Bazaar,bread at Big Bazaar,Groceries
675.5,Big Bazaar,bread at Big Bazaar,Groceries
103.07,Ola,cab fare at Ola,Travel
6813.22,Netflix,concert at Netflix,Entertainment
60.13,Spotify,concert at Spotify,Entertainment
1595.91,Amazon,electronics at Amazon,Shopping
877.07,Google Pay,payment at Google Pay,Others
4461.43,Paytm,recharge at Paytm,Others
423.54,BYJU'S,subscription at BYJU'S,Education
1139.21,Hotstar,games at Hotstar,Entertainment
987.7,BookMyShow,concert at BookMyShow,Entertainment
1820.36,Flipkart,clothes at Flipkart,Shopping
105.65,Hotstar,games at Hotstar,Entertainment
323.11,Netflix,games at Netflix,Entertainment
362.28,Tata Power,internet at Tata Power,Utilities
2009.98,Netmeds,consultation at Netmeds,Healthcare
314.49,DMart,bread at DMart,Groceries
1278.19,Ola,cab fare at Ola,Travel
363.57,BookMyShow,games at BookMyShow,Entertainment
2966.68,Paytm,payment at Paytm,Others
4275.77,Ola,flight at Ola,Travel
1096.25,Zomato,food delivery at Zomato,Dining
651.51,Zomato,SNACK AT ZOMATO,Dining
399.97,Reliance Fresh,vegetables at Reliance Fresh,Groceries
76.59,DMart,vegetables at DMart,Groceries
468.99,Unacademy,STUDY MATERIAL AT UNACADEMY,Education
1593,Myntra,clothes at Myntra,Shopping
1144.12,PractO,consultation at PractO,Healthcare
4324.71,HP Petrol Pump,fuel refill at HP Petrol Pump,Fuel
756.96,Myntra,electronics at Myntra,Shopping
1775.59,Zomato,food delivery at Zomato,Dining
1008.03,Swiggy,lunch at Swiggy,Dining
1077.93,Google Pay,payment at Google Pay,Others
467.5,Uber,cab fare at Uber,Travel
910.32,1mg,medicine at 1mg,Healthcare
954.54,BESCOM,internet at BESCOM,Utilities
1839.55,IRCTC,bus ticket at IRCTC,Travel
4236.2,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
599.2,More Supermarket,monthly ration at More Supermarket,Groceries
64.68,Apollo Pharmacy,doctor visit at Apollo Pharmacy,Healthcare
1028.65,Indian Oil,fuel refill at Indian Oil,Fuel
1179.41,Paytm,recharge at Paytm,Others
276.68,Paytm,RECHARGE AT PAYTM,Others
2143.58,Vedantu,SUBSCRIPTION AT VEDANTU,Education
6292.49,Domino's,food delivery at Domino's,Dining
4371.91,RedBus,train ticket at RedBus,Travel
329.3,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
3123.53,Uber,train ticket at Uber,Travel
1828.6,Big Bazaar,vegetables at Big Bazaar,Groceries
907.28,Hotstar,subscription at Hotstar,Entertainment
1166.79,PhonePe,recharge at PhonePe,Others
2841.69,Reliance Fresh,bread at Reliance Fresh,Groceries
981.28,phonepe,transfer at PhonePe,Others
700.71,Flipkart,footwear at Flipkart,Shopping
1019.6,RedBus,bus ticket at RedBus,Travel
1298.15,Big Bazaar,monthly ration at Big Bazaar,Groceries
314.37,redbus,cab fare at RedBus,Travel
3467.56,Swiggy,snack at Swiggy,Dining
1682.15,Airtel,internet at Airtel,Utilities
1504.69,Spotify,subscription at Spotify,Entertainment
157.2,Indian Oil,petrol at Indian Oil,Fuel
1390.17,1mg,medicine at 1mg,Healthcare
193.39,Vedantu,subscription at Vedantu,Education
122.95,BookMyShow,subscription at BookMyShow,Entertainment
1123.98,Vedantu,study material at Vedantu,Education
773.22,Coursera,subscription at Coursera,Education
1333.05,netflix,subscription at Netflix,Entertainment
140.18,Airtel,electricity bill at Airtel,Utilities
845.77,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
288.17,Big Bazaar,vegetables at Big Bazaar,Groceries
6525.8,1mg,consultation at 1mg,Healthcare
1235.4,vedantu,study material at Vedantu,Education
1744.42,Amazon,home decor at Amazon,Shopping
590.49,Ajio,clothes at Ajio,Shopping
149.3,Coursera,subscription at Coursera,Education
5586.5,RedBus,bus ticket at RedBus,Travel
505.85,Paytm,recharge at Paytm,Others
826.97,PractO,doctor visit at PractO,Healthcare
1574.15,Ajio,clothes at Ajio,Shopping
37.51,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
2493.14,Netmeds,medicine at Netmeds,Healthcare
1153.68,Ola,cab fare at Ola,Travel
489.05,IRCTC,train ticket at IRCTC,Travel
95.38,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
266,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
3381.18,Zomato,dinner at Zomato,Dining
1737.66,Unacademy,study material at Unacademy,Education
431.33,Big Bazaar,milk at Big Bazaar,Groceries
101.78,Netmeds,medicine at Netmeds,Healthcare
1759.75,Amazon,electronics at Amazon,Shopping
1274.38,unacademy,subscription at Unacademy,Education
777.58,Paytm,payment at Paytm,Others
677.92,Uber,bus ticket at Uber,Travel
366.58,Bharat Petroleum,fuel refill at Bharat Petroleum,Fuel
1661.23,Ola,bus ticket at Ola,Travel
5293.62,Indian Oil,fuel refill at Indian Oil,Fuel
289.86,RedBus,bus ticket at RedBus,Travel
1363.66,DMart,milk at DMart,Groceries
827.95,phonepe,transfer at PhonePe,Others
887.75,1mg,consultation at 1mg,Healthcare
439.84,Myntra,clothes at Myntra,Shopping
2615.61,Reliance Fresh,vegetables at Reliance Fresh,Groceries
996.13,Paytm,payment at Paytm,Others
1175.94,Indian Oil,FUEL REFILL AT INDIAN OIL,Fuel
545.25,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
300.99,HP Petrol Pump,diesel at HP Petrol Pump,Fuel
134.74,Indian Oil,petrol at Indian Oil,Fuel
1878.27,Tata Power,gas bill at Tata Power,Utilities
327.67,Amazon,home decor at Amazon,Shopping
1757.14,Domino's,snack at Domino's,Dining
742.37,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
806.2,PhonePe,RECHARGE AT PHONEPE,Others
949.99,RedBus,bus ticket at RedBus,Travel
687.61,Netflix,movie at Netflix,Entertainment
159.07,Indian Oil,diesel at Indian Oil,Fuel
555.8,Google Pay,payment at Google Pay,Others
1634.78,1mg,medicine at 1mg,Healthcare
1643.95,DMart,monthly ration at DMart,Groceries
505.78,More Supermarket,milk at More Supermarket,Groceries
924.56,Airtel,mobile recharge at Airtel,Utilities
322.48,Apollo Pharmacy,health checkup at Apollo Pharmacy,Healthcare
354.29,Airtel,electricity bill at Airtel,Utilities
34.98,Flipkart,home decor at Flipkart,Shopping
3405.85,Swiggy,food delivery at Swiggy,Dining
354.93,PhonePe,payment at PhonePe,Others
387.25,Netflix,concert at Netflix,Entertainment
491.93,1mg,consultation at 1mg,Healthcare
204.43,Big Bazaar,milk at Big Bazaar,Groceries
1529.41,Netmeds,consultation at Netmeds,Healthcare
117.17,Myntra,home decor at Myntra,Shopping
216.16,More Supermarket,milk at More Supermarket,Groceries
1552.43,BYJU'S,course fee at BYJU'S,Education
622.5,indian oil,fuel refill at Indian Oil,Fuel
1846.23,Flipkart,footwear at Flipkart,Shopping
1222.72,PhonePe,transfer at PhonePe,Others
443.61,Amazon,clothes at Amazon,Shopping
1578.29,Google Pay,recharge at Google Pay,Others
185.41,BYJU'S,study material at BYJU'S,Education
1153.13,1mg,doctor visit at 1mg,Healthcare
862.11,BYJU'S,study material at BYJU'S,Education
467.7,phonepe,payment at PhonePe,Others
1389.53,Ajio,footwear at Ajio,Shopping
3075.8,BYJU'S,subscription at BYJU'S,Education
10225.09,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
1403.83,Myntra,home decor at Myntra,Shopping
778.05,Hotstar,concert at Hotstar,Entertainment
382.74,Zomato,food delivery at Zomato,Dining
445.78,Indian Oil,fuel refill at Indian Oil,Fuel
979.32,Domino's,lunch at Domino's,Dining
686.59,Amazon,home decor at Amazon,Shopping
3676.88,Ola,flight at Ola,Travel
689,PhonePe,RECHARGE AT PHONEPE,Others
701.28,Uber,flight at Uber,Travel
725.63,Coursera,study material at Coursera,Education
2717.52,RedBus,bus ticket at RedBus,Travel
1578.12,Reliance Fresh,bread at Reliance Fresh,Groceries
1428.53,Zomato,dinner at Zomato,Dining
610.02,Swiggy,food delivery at Swiggy,Dining
2554.83,DMart,bread at DMart,Groceries
58.68,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
3069.56,Hotstar,subscription at Hotstar,Entertainment
1078.47,Bharat Petroleum,diesel at Bharat Petroleum,Fuel
761.87,Netmeds,medicine at Netmeds,Healthcare
1031.25,Amazon,clothes at Amazon,Shopping
1651.29,Unacademy,course fee at Unacademy,Education
19.27,Paytm,transfer at Paytm,Others
3078.35,Paytm,transfer at Paytm,Others
887.89,RedBus,cab fare at RedBus,Travel
630.03,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
223.18,Tata Power,mobile recharge at Tata Power,Utilities
868.3,HP Petrol Pump,PETROL AT HP PETROL PUMP,Fuel
1028.73,netflix,movie at Netflix,Entertainment
775.38,Unacademy,study material at Unacademy,Education
1702.88,Ola,FLIGHT AT OLA,Travel
819.41,PhonePe,payment at PhonePe,Others
4882.44,Swiggy,food delivery at Swiggy,Dining
1371.73,Flipkart,footwear at Flipkart,Shopping
2471.32,Myntra,CLOTHES AT MYNTRA,Shopping
173.72,PhonePe,payment at PhonePe,Others
759.48,Flipkart,home decor at Flipkart,Shopping
616.13,Paytm,recharge at Paytm,Others
1264.15,Netflix,games at Netflix,Entertainment
2961.15,Spotify,subscription at Spotify,Entertainment
122.37,Swiggy,lunch at Swiggy,Dining
113.01,google pay,payment at Google Pay,Others
2848.86,Unacademy,subscription at Unacademy,Education
359,Ola,flight at Ola,Travel
1657.34,Barbeque Nation,lunch at Barbeque Nation,Dining
1174.21,Google Pay,transfer at Google Pay,Others
2683.69,Airtel,gas bill at Airtel,Utilities
200.45,BYJU'S,course fee at BYJU'S,Education
208.52,Flipkart,electronics at Flipkart,Shopping
1220.66,Reliance Fresh,vegetables at Reliance Fresh,Groceries
4388.71,HP Petrol Pump,PETROL AT HP PETROL PUMP,Fuel
804.21,Tata Power,electricity bill at Tata Power,Utilities
593.89,Coursera,course fee at Coursera,Education
1399.73,Vedantu,SUBSCRIPTION AT VEDANTU,Education
3998.53,Tata Power,electricity bill at Tata Power,Utilities
2720.34,Zomato,snack at Zomato,Dining
8100.06,Ajio,footwear at Ajio,Shopping
34.24,PhonePe,payment at PhonePe,Others
179.63,PhonePe,recharge at PhonePe,Others
1410.37,IRCTC,flight at IRCTC,Travel
2577.01,Coursera,subscription at Coursera,Education
503.72,PractO,health checkup at PractO,Healthcare
410.1,Apollo Pharmacy,consultation at Apollo Pharmacy,Healthcare
2319.52,Unacademy,subscription at Unacademy,Education
87.05,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
691.58,Spotify,subscription at Spotify,Entertainment
1057.25,Spotify,concert at Spotify,Entertainment
1232.66,BYJU'S,subscription at BYJU'S,Education
1956.33,Hotstar,games at Hotstar,Entertainment
657.4,IRCTC,flight at IRCTC,Travel
1422.77,Indian Oil,diesel at Indian Oil,Fuel
1320.57,Mahanagar Gas,gas bill at Mahanagar Gas,Utilities
1189.84,myntra,electronics at Myntra,Shopping
1534.49,Ola,flight at Ola,Travel
450.54,Zomato,dinner at Zomato,Dining
132.67,Mahanagar Gas,mobile recharge at Mahanagar Gas,Utilities
190.51,Coursera,subscription at Coursera,Education
381.53,RedBus,flight at RedBus,Travel
1040.31,Google Pay,transfer at Google Pay,Others
2753.03,Paytm,payment at Paytm,Others
1812.44,Bharat Petroleum,petrol at Bharat Petroleum,Fuel
2334.13,RedBus,cab fare at RedBus,Travel
648.43,Zomato,food delivery at Zomato,Dining
777.92,Myntra,footwear at Myntra,Shopping
750.53,Flipkart,footwear at Flipkart,Shopping
